category,version_added,version_removed,_date,version,projectGroup,file_id,FEAR_OF_THE_UNKNOWN,IMPLICIT_COLUMNS,LongMethod,LongParameterList
Library,20,127,2019-04-17 11:55:43,2,A,A28037,0,2,1,0
Library,21,127,2019-04-17 11:55:43,2,A,A27245,0,0,0,0
Library,20,127,2019-04-17 11:55:43,2,A,A27455,0,0,0,0
Library,21,127,2019-04-17 11:55:43,2,A,A27351,0,3,0,0
Library,8,127,2019-04-17 11:55:43,2,A,A35241,0,1,1,0
Library,8,127,2019-04-17 11:55:43,2,A,A33600,0,0,0,0
Library,63,127,2017-07-27 18:29:03,12,A,A58514,0,0,0,0
Library,63,127,2017-08-08 21:53:54,11,A,A58514,0,0,0,0
Library,63,127,2017-07-20 16:44:28,13,A,A58514,0,0,0,0
Library,63,127,2017-06-08 23:44:49,16,A,A58514,0,0,0,0
Library,63,127,2017-06-23 20:48:45,15,A,A58514,0,0,0,0
Library,63,127,2017-07-07 17:05:39,14,A,A58514,0,0,0,0
Library,64,127,2019-08-28 22:07:57,0,A,A8610,0,0,0,0
Library,4,127,2019-08-28 22:07:57,0,A,A28091,0,0,0,0
Library,64,127,2018-05-24 22:02:07,1,A,A8610,0,0,0,0
Library,4,127,2018-05-24 22:02:07,1,A,A28091,0,0,0,0
Library,8,127,2019-03-27 22:37:40,3,A,A35241,0,1,1,0
Library,8,127,2019-03-27 22:37:40,3,A,A33600,0,0,0,0
Library,20,127,2019-03-27 22:37:40,3,A,A28037,0,2,1,0
Library,21,127,2019-03-27 22:37:40,3,A,A27245,0,0,0,0
Library,20,127,2019-03-27 22:37:40,3,A,A27455,0,0,0,0
Library,21,127,2019-03-27 22:37:40,3,A,A27351,0,3,0,0
Library,8,127,2019-03-08 08:51:05,4,A,A33600,0,0,0,0
Library,20,127,2019-03-08 08:51:05,4,A,A28037,0,2,1,0
Library,20,127,2019-03-08 08:51:05,4,A,A27455,0,0,0,0
Library,21,127,2019-03-08 08:51:05,4,A,A27351,0,3,0,0
Library,8,127,2019-03-08 08:51:05,4,A,A35241,0,1,1,0
Library,21,127,2019-03-08 08:51:05,4,A,A27245,0,0,0,0
Library,21,127,2019-01-11 19:29:49,6,A,A27351,0,3,0,0
Library,20,127,2019-01-11 19:29:49,6,A,A27455,0,0,0,0
Library,21,127,2019-01-11 19:29:49,6,A,A27245,0,0,0,0
Library,20,127,2019-01-11 19:29:49,6,A,A28037,0,2,1,0
Library,20,127,2018-12-06 22:39:27,7,A,A28037,0,2,1,0
Library,20,127,2018-12-06 22:39:27,7,A,A27455,0,0,0,0
Library,21,127,2018-12-06 22:39:27,7,A,A27351,0,3,0,0
Library,21,127,2018-12-06 22:39:27,7,A,A27245,0,0,0,0
Library,8,127,2019-01-11 19:29:49,6,A,A33600,0,0,0,0
Library,8,127,2019-01-11 19:29:49,6,A,A35241,0,1,1,0
Library,21,127,2019-02-12 05:01:37,5,A,A27351,0,3,0,0
Library,20,127,2019-02-12 05:01:37,5,A,A27455,0,0,0,0
Library,21,127,2019-02-12 05:01:37,5,A,A27245,0,0,0,0
Library,20,127,2019-02-12 05:01:37,5,A,A28037,0,2,1,0
Library,8,127,2019-02-12 05:01:37,5,A,A33600,0,0,0,0
Library,8,127,2019-02-12 05:01:37,5,A,A35241,0,1,1,0
Library,21,127,2018-11-01 19:32:51,8,A,A27245,0,0,0,0
Library,20,127,2018-11-01 19:32:51,8,A,A28037,0,2,1,0
Library,20,127,2018-11-01 19:32:51,8,A,A27455,0,0,0,0
Library,21,127,2018-11-01 19:32:51,8,A,A27351,0,3,0,0
Library,8,127,2018-12-06 22:39:27,7,A,A35241,0,1,1,0
Library,8,127,2018-12-06 22:39:27,7,A,A33600,0,0,0,0
Library,8,127,2018-11-01 19:32:51,8,A,A33600,0,0,0,0
Library,8,127,2018-11-01 19:32:51,8,A,A35241,0,1,0,0
Library,21,127,2018-09-21 19:50:45,9,A,A27245,0,0,0,0
Library,20,127,2018-09-21 19:50:45,9,A,A28037,0,2,1,0
Library,20,127,2018-09-21 19:50:45,9,A,A27455,0,0,0,0
Library,21,127,2018-09-21 19:50:45,9,A,A27351,0,3,0,0
Library,20,127,2018-08-09 18:58:38,10,A,A28037,0,2,1,0
Library,21,127,2018-08-09 18:58:38,10,A,A27245,0,0,0,0
Library,21,127,2018-08-09 18:58:38,10,A,A27351,0,3,0,0
Library,20,127,2018-08-09 18:58:38,10,A,A27455,0,0,0,0
Library,20,127,2018-05-23 18:28:41,12,A,A28037,0,2,1,0
Library,21,127,2018-05-23 18:28:41,12,A,A27245,0,0,0,0
Library,21,127,2018-05-23 18:28:41,12,A,A27351,0,3,0,0
Library,20,127,2018-05-23 18:28:41,12,A,A27455,0,0,0,0
Library,21,127,2018-05-14 11:09:15,13,A,A27351,0,3,0,0
Library,20,127,2018-05-14 11:09:15,13,A,A27455,0,0,0,0
Library,20,127,2018-05-14 11:09:15,13,A,A28037,0,2,1,0
Library,21,127,2018-05-14 11:09:15,13,A,A27245,0,0,0,0
Library,20,127,2018-06-18 14:11:26,11,A,A28037,0,2,1,0
Library,21,127,2018-06-18 14:11:26,11,A,A27351,0,3,0,0
Library,21,127,2018-06-18 14:11:26,11,A,A27245,0,0,0,0
Library,20,127,2018-06-18 14:11:26,11,A,A27455,0,0,0,0
Library,20,127,2018-04-25 17:22:36,14,A,A27455,0,0,0,0
Library,20,127,2018-04-25 17:22:36,14,A,A28037,0,2,1,0
Library,21,127,2018-04-25 17:22:36,14,A,A27245,0,0,0,0
Library,21,127,2018-04-25 17:22:36,14,A,A27351,0,3,0,0
Library,21,127,2018-03-31 02:04:46,16,A,A27351,0,3,0,0
Library,20,127,2018-03-31 02:04:46,16,A,A27455,0,0,0,0
Library,21,127,2018-03-31 02:04:46,16,A,A27245,0,0,0,0
Library,20,127,2018-04-11 17:55:35,15,A,A27455,0,0,0,0
Library,21,127,2018-04-11 17:55:35,15,A,A27351,0,3,0,0
Library,21,127,2018-04-11 17:55:35,15,A,A27245,0,0,0,0
Library,20,127,2018-04-11 17:55:35,15,A,A28037,0,2,1,0
Library,21,127,2018-03-23 00:00:04,17,A,A27351,0,3,0,0
Library,20,127,2018-03-23 00:00:04,17,A,A27455,0,0,0,0
Library,21,127,2018-03-23 00:00:04,17,A,A27245,0,0,0,0
Library,20,127,2018-03-23 00:00:04,17,A,A28037,0,2,1,0
Library,20,127,2018-03-31 02:04:46,16,A,A28037,0,2,1,0
Library,20,127,2018-03-13 21:04:23,18,A,A28037,0,2,0,0
Library,21,127,2018-03-13 21:04:23,18,A,A27351,0,3,0,0
Library,20,127,2018-03-13 21:04:23,18,A,A27455,0,0,0,0
Library,21,127,2018-03-13 21:04:23,18,A,A27245,0,0,0,0
Library,21,127,2018-01-24 21:43:24,20,A,A27351,0,3,0,0
Library,20,127,2018-01-24 21:43:24,20,A,A27455,0,0,0,0
Library,21,127,2018-01-24 21:43:24,20,A,A27245,0,0,0,0
Library,20,127,2018-01-24 21:43:24,20,A,A28037,0,2,0,0
Library,21,127,2017-12-15 21:52:43,21,A,A27351,0,3,0,0
Library,21,127,2017-12-15 21:52:43,21,A,A27245,0,0,0,0
Library,20,127,2018-02-23 21:23:16,19,A,A27455,0,0,0,0
Library,21,127,2018-02-23 21:23:16,19,A,A27245,0,0,0,0
Library,21,127,2018-02-23 21:23:16,19,A,A27351,0,3,0,0
Library,20,127,2018-02-23 21:23:16,19,A,A28037,0,2,0,0
Library,1,127,2019-10-06 08:52:12,0,A,A46620,0,0,0,0
Library,3,127,2018-04-26 15:27:34,1,A,A46432,0,1,0,0
Library,3,127,2019-10-06 08:52:12,0,A,A46492,0,0,0,0
Library,3,127,2019-10-06 08:52:12,0,A,A46501,12,0,1,0
Library,3,127,2019-10-06 08:52:12,0,A,A46432,0,1,0,0
Library,3,127,2019-10-06 08:52:12,0,A,A46468,26,7,0,0
Library,2,127,2019-10-06 08:52:12,0,A,A46558,2,1,1,0
Library,3,127,2018-04-26 15:27:34,1,A,A46501,12,0,1,0
Library,1,127,2018-04-26 15:27:34,1,A,A46620,0,0,0,0
Library,2,127,2018-04-26 15:27:34,1,A,A46558,2,0,0,0
Library,3,127,2018-04-26 15:27:34,1,A,A46468,19,5,1,0
Library,3,127,2018-04-26 15:27:34,1,A,A46492,0,0,0,0
Utility,5,127,2018-07-02 05:54:51,3,A,A86,0,4,0,1
Utility,5,127,2016-04-27 04:30:54,4,A,A86,0,0,1,0
Utility,5,127,2015-07-09 09:22:49,5,A,A86,0,0,1,1
Utility,2,127,2015-04-13 05:51:45,1,A,A34375,0,8,1,0
Utility,2,127,2015-04-13 05:51:45,1,A,A34374,0,0,0,0
Utility,2,127,2015-04-13 05:51:45,1,A,A34376,0,2,1,0
Utility,2,127,2015-04-13 05:51:45,1,A,A34378,0,5,1,0
Utility,1,127,2019-10-09 07:08:31,0,A,A34823,0,0,0,0
Utility,0,127,2019-10-09 07:08:31,0,A,A35084,0,0,0,0
Utility,0,127,2019-10-09 07:08:31,0,A,A35080,0,0,1,0
Utility,0,127,2019-10-09 07:08:31,0,A,A35065,0,1,0,0
Library,3,127,2015-11-23 08:33:31,3,A,A46492,0,0,0,0
Library,3,127,2015-11-23 08:33:31,3,A,A46468,2,1,1,0
Library,3,127,2016-04-30 08:42:17,2,A,A46468,9,1,1,0
Library,3,127,2016-04-30 08:42:17,2,A,A46492,0,0,1,0
Library,3,127,2016-04-30 08:42:17,2,A,A46432,0,1,0,0
Library,3,127,2015-11-23 08:33:31,3,A,A46432,0,1,0,0
Library,2,127,2016-04-30 08:42:17,2,A,A46558,0,0,0,0
Library,3,127,2016-04-30 08:42:17,2,A,A46501,0,0,0,0
Utility,5,127,2019-01-27 16:32:41,2,A,A86,0,6,0,1
Utility,5,127,2019-09-29 22:00:50,0,A,A86,0,4,1,0
Utility,5,127,2019-06-28 21:19:20,1,A,A86,0,4,1,0
Business,7,127,2018-08-26 20:00:58,2,A,A1802,0,1,0,0
Business,6,127,2018-08-26 20:00:58,2,A,A2564,0,0,1,0
Business,6,127,2018-08-26 20:00:58,2,A,A2588,0,0,0,0
Business,6,127,2019-01-31 23:12:30,1,A,A2564,0,0,1,0
Business,6,127,2019-01-31 23:12:30,1,A,A2588,0,0,0,0
Business,7,127,2019-01-31 23:12:30,1,A,A1802,0,1,0,0
Business,6,127,2018-02-16 23:56:02,4,A,A2588,0,0,0,0
Business,7,127,2018-02-16 23:56:02,4,A,A1802,0,0,0,0
Business,6,127,2018-02-16 23:56:02,4,A,A2564,0,0,1,1
Business,6,127,2018-04-05 00:33:42,3,A,A2564,0,0,1,0
Business,6,127,2018-04-05 00:33:42,3,A,A2588,0,0,0,0
Business,7,127,2018-04-05 00:33:42,3,A,A1802,0,1,0,0
Utility,2,127,2014-12-05 03:11:17,2,A,A34378,0,6,1,0
Utility,2,127,2014-12-05 03:11:17,2,A,A34376,0,2,1,0
Utility,2,127,2014-12-05 03:11:17,2,A,A34375,0,8,1,0
Utility,2,127,2014-12-05 03:11:17,2,A,A34374,0,0,0,0
Utility,1,127,2015-04-13 05:51:45,1,A,A34827,0,0,0,0
Utility,1,127,2015-04-13 05:51:45,1,A,A34825,0,2,0,1
Utility,1,127,2015-04-13 05:51:45,1,A,A34823,0,0,0,0
Business,6,127,2019-09-19 07:15:10,0,A,A2588,0,0,0,0
Business,6,127,2019-09-19 07:15:10,0,A,A2564,0,0,1,0
Business,7,127,2019-09-19 07:15:10,0,A,A1802,0,1,0,0
Library,4,127,2014-07-17 22:02:05,4,A,A12088,0,0,0,0
Library,4,127,2014-07-17 22:02:05,4,A,A12106,0,0,0,0
Utility,5,127,2019-10-08 20:15:55,0,A,A4148,0,0,1,0
Library,4,127,2014-07-17 22:02:05,4,A,A12112,0,0,0,0
Utility,0,127,2019-10-08 20:15:55,0,A,A11584,0,0,1,0
Library,4,127,2015-07-06 06:46:50,2,A,A12088,0,0,0,0
Library,4,127,2015-07-06 06:46:50,2,A,A12106,0,0,0,0
Library,4,127,2015-07-06 06:46:50,2,A,A12112,0,0,1,0
Library,3,127,2015-07-06 06:46:50,2,A,A12135,0,0,0,0
Library,3,127,2014-12-18 06:22:55,3,A,A12135,0,0,0,0
Library,4,127,2014-12-18 06:22:55,3,A,A12112,0,0,0,0
Library,4,127,2014-12-18 06:22:55,3,A,A12088,0,0,0,0
Library,4,127,2014-12-18 06:22:55,3,A,A12106,0,0,0,0
Utility,1,127,2019-10-08 20:15:55,0,A,A7557,1,0,0,0
Utility,1,127,2019-10-08 20:15:55,0,A,A7559,0,0,0,0
Utility,1,127,2019-10-08 20:15:55,0,A,A7561,0,0,1,0
Utility,1,127,2019-10-08 20:15:55,0,A,A7563,0,0,0,0
Utility,1,127,2019-10-08 20:15:55,0,A,A7566,0,0,0,0
Utility,1,127,2019-10-08 20:15:55,0,A,A7583,0,0,1,0
Utility,1,127,2019-10-08 20:15:55,0,A,A7587,0,0,1,0
Utility,1,127,2019-10-08 20:15:55,0,A,A7598,0,0,0,0
Utility,1,127,2019-10-08 20:15:55,0,A,A7527,0,0,0,0
Utility,1,127,2019-10-08 20:15:55,0,A,A7529,0,0,0,0
Utility,1,127,2019-10-08 20:15:55,0,A,A7531,0,0,1,0
Utility,1,127,2019-10-08 20:15:55,0,A,A7533,0,0,1,0
Utility,1,127,2019-10-08 20:15:55,0,A,A7535,0,0,0,0
Utility,1,127,2019-10-08 20:15:55,0,A,A7538,0,0,0,0
Utility,1,127,2019-10-08 20:15:55,0,A,A7540,0,0,0,0
Utility,1,127,2019-10-08 20:15:55,0,A,A7542,0,0,0,1
Utility,1,127,2019-10-08 20:15:55,0,A,A7544,0,0,0,0
Utility,1,127,2019-10-08 20:15:55,0,A,A7546,0,0,0,0
Utility,1,127,2019-10-08 20:15:55,0,A,A7548,0,0,0,0
